comment,rating
"After taking this medication for only 7 days, my brother-in-law commited suicide.  He was a kind, gentle man who never talked of suicide, was dealing with health issues (gall bladder problems) and they put him on this medication because it was taking the stomach doctor so long to get him in to take care of his stomach issues.  He was a person who never would have even thought of hurting himself nor his family.  He had a loving wife, loving children and grandchildren.  They are now having to face losing him this way.  He was not monitored adequately by his treating physician who prescribed this medication.  The whole family knows that this drug made him see suicide as his only way for relief from his frustrations.  Please, please, do not take this medication under any circumstances unless you are confined to a hospital or clinic where you can be monitored 24 hours a day!!!",1
i couldnt get past the first day of it  going to try someting else ",1
i took this medication and within about 2 or 3 days i was gaining bounds of weight and shaking so violently i could not write. by the 4 week mark when there was absolutely no change in my depression i quit and refused to take depression meds anymore. i would prefer to be miserable than have horrible side effect AND be miserable,1
"I was taking lexapro but stopped due to expense and loss of insurance.I have been taking Celxa for 5 months.I feel more depressed,irritable and no energy.I now feel I need to try another medication.",1
Used for 30 days didn't see any results.  Made me extremely tired during the day.  Would have to take a nap during the day most days.,1
I do not have very much energy and have sleep problems,1
"Prescribed for depression and anxiety. Seemed to help with anxiety, not with depression. Sexual side effects. Horrible withdrawal symptoms when stopped.",1
I just started on this medication,1
"My doctor put me on 20ml of this with phentermine so I can lose the 20 pounds I have gained.  After reading how these two drugs should not be taken together, it scared the crap out of me so I will stop it and only continue with the phentermine.  Why would a doctor put me on two drugs that should not be used together?",1
very weak,1
My P.C.P., the following day, sent me to E.R. at one of our illustrious hospitals here at the Medical Center, Houston. This was the same hospital that put me on this ""Coctail"" to begin with while I was being treated there for 6 1/2 days.I was given Rx's upon release. 7 days later, while at home, I fainted twice in a 8 hour period. Upon release, the second time, I was told to stop taking the ""Tramadol"". In my own opinion, after extensive research on web sites as this one, WebMD, I stopped taking, not only Tramadol, but also Cymbalta and Citalpram - the drug, that in my opinion, caused these serious side effects and could have killed me !",1
Very bad results. First two months was great. Chronic pain subsided. Then went into deepening depression.,1
,1
"Bad reaction. First dose of 20mg Citalopram caused heart palpitations, tremors, and increased anxiety. Took as directed, after food in the morning.",1
very tired can't seem to sleep at night but can sleep in the day after a few days of staying up for two or three days at a time but i do feel a little calmer..,1
"My dr put me on citalopram to help with my depression.  At first, it worked ok and didn't have any side effects.  Yet, after a year of being on this medication, I have noticed that I don't enjoy anything in my life and all of my relationships are slowly deteriorating.  This medication has also made me extremely tired, lose focus at work, and gain over 40 lbs in the past year-this is very uncharcteristic since I only gained about 1 to 2 lbs a year before taking Citalopram.  After a major spell of depression while being on citalopram, I decided to ask my doctor to change my medication. I am now taking Wellbutrin for only 2 days so far and already feel better and more hopeful about life(dr. said Wellbutrin is an NDRI which affects the brain differently than SSRI meds like Citalopram).  I hope the Wellbutrin works.",1
,1
 HAVE  HAD  BAD  SIDE  EFFECTS  FROM THIS  DRUG  AFTER ONLY  TAKING  2 PILLS    DIZZINESS  WEAK  HALLUCINATION .......,1
"No effect after this huge expense.  Took for 30 days; no effect. On Citalopram. Absolutely no positive effect,although I am experience brief, mid-day waves of depression, unknown heretofore.  Not a Happy Camper....!76WM",1
"sill not sleeping,still moody",1
"I started this med 4 wks. ago @ 10 MG/day. After a few days I felt a calming effect. However, after 1 week I could no longer reach an orgasim & my sleep was horrible. In additon, I was tired much of the time. I have decided to not take anymore anti depressants as most all of them have sexual side effects. I am not that depressed & have managed for 60 yrs. I probably should not have started these meds. I have not met anyone who had anything good to say about these drugs. I do not know anyone who was severely depressed. Can I stop taking my 10 MG all at once or do I have to cut down to 5 MG 1st? ",1
"I started this medication 4 weeks ago on 20mg. Today I don't know if it is the meds but I had some energy. I started cleaning everything but at the same time felt tired. The Doctor is going to up the dosage do you think this well help. I have severe depression,anxiety and A.D.D",1
this mediciand has made me more down then i was at first plus gave me real bad headackes the day after. did not like this feeling at all.,1
"This medication gave me terrible side effects; I stopped eating, threw up daily, it made me dizzy, kept me awake at night, and I would shake constantly. The side effects were not worth what the drug could potentially do for me.",1
I haven't seen any differents I'm still feel down and find myself crying at work and home. ,1
"Switched from Cymbalta to this (because of cost), but it did not control my depression the way Cymbalta did.  It took a while to figure out, because the symptoms did not manifest in the way I was used to (was more angry and irritable than sad and weepy).  Also allowed my fibromyalgia pain to get way out of control too.",1
"it dropped my blood sugar, i have never had sugar issues in my life. i only wiegh 105lbs. i now have to take insulin shots.it sent me to the emergency room with a bloodsugar of 650 thats coma state for some .",1
this drug was a very bad experience and I dont recomend it to anyone. the risks far out balance the benifits, as it even began to affect my liver funtion and vision. there are many more drugs out there that do a better job than this with far less serious risks, after being hospilized due to this drug, I was shocked to read the list of side effects, and even 2 weeks in, I was experiencing common and uncommon side effects, who knows what would have happened if I were to remain on it. I can not recomend this drug for anyone taking Concerta while on this drug or trying to replace Paxil WITH this drug.",1
,1
my friend has been on this med for 3 months. her symptons are much much worse and her doc will not change the medication. what do we do?,1
,1
I feel tired and weak,1
"oh my god I thought I was manic before, 4 days on this stuff had me at an all time low, and suicidal, back to the drawing board.",1
when started on meds began having severe headaches,1
"I have been taking this medication for about a month for depression and anxiety. I'm sicker then before, I have worse depression, I have terrible mood swings, I have insomnia, I have uncontrollable bouts of crying and sadness, and my family doesn't want to be around me. I am getting off this medication as soon as I can.",1
"My grandmother has alzheimer's and she experienced every side effect that is described by the drug definition. Agitation, suicidal thoughts, paranoia and shakiness.",1
,1
Did much better on lexpro.",1
too many side effects,1
"I have been taking this drug for nearly a year and it puts a thin veneer of civilization between other people and myself.  I have fatigue, mood swings, excessive weight gain, brittle nails and cannot stand to be around people more than an hour at a time.  I am depressed and wish people would just disappear off the face of the planet so I do not have to deal with them.  When will there ever be a real drug to treat depression??",1
"I was on this medicine for 6 to 7 months, in the beginning I needed this medicine for depression at 40mg for the first 2 weeks, changes on my mood have been occuring negativly, no sleep, trouble concentrating, etc. I contacted my doctor, and he said to ""give it more time"", so I did. A month later I went from a 137ibs to 152ibs so I contacted my doctor he said this medication does not make you gain weight, he said it was my diet. With total weight gain I went from 137ibs to 175ibs. After reading some of the comments at WebMD I found out that this medication DOES make you gain weight. I stopped taking the medicine cold turkey, I am back on my old medication and my weight is starting to come down. After leaving this medication, I had no more bad ideas but sometimes, I cannot control my eyes, they twitch from one side to the other for a second and it happens when im driving. I dont know if it is some kind of withdraw side effect from the medicine and if this is happened to someone else, PLEASE post a comment, I will be checking regularly.",1
"Taking for a week.  No effect on mood though I understand it takes some time so I will stick with it.  Nausea, restless sleep, sweats, and lots of yawning during the day.  First AD ever taken so I really hope it works.  ",1
i felt like my mind was on 2 pots of expresso and the bathroom thing wasn't pleasant. I stopped after 2 weeks.,1
,1
"I have been on this for 2 weeks half 20mg pill and have no energy, strange dreams at night, more depressed. It does make my mood swings better but I find that I don't really care about anything when I'm on it. The stomach aches are really bad on it. I will try it for 2 months and see what happens. So far nothing is happening on it. ",1
"I feel like this medication isn't helping me at all, just making me very nervous.",1
"I started taking this medication to counteract depression, only to find that it made it worse. I felt extremely weak and dizzy. Try something else.",1
"I have been on this for 1 year. In the beginning seemed to work well. Now I am awake during the night, have absolutely no energy during the day. Andwhat used to be a very active sex life has now vanished.",1
When I started taking the drug it helped but over a peroid of time my depression got worse.  I am now taking Zoloft and it is an execllent drug for my symptoms.   ,1
",1
i have been taking citalopram for over a year.it hasnt helped and i have gotten worse i finally told my doctor and she recently switched me to prozac. when on citalopram my anger was bad temper short and got angry for no reason i have put on over 40 lbs and i just didnt need that. i hope this new med works because i am feeling tired and suicidal all the time i just sit in my room and cry i have to hide this from my daughter because she is a natural worrier. she is the only thing keeping me from going off the deep end so if you are taking citalopram watch out for more depression good luck,1
,1
,1
"I had a mild allergic reaction to this drug.  It was my first experience taking an antidepressant and I ended up in the ER!  Nothing major - my throat felt tight (but was not closing up) and my chest felt a little tight too.  The ER gave me benadryll and let me sleep off the symptoms, and I was fine.  The doctors were very surprised I had a reaction to that; they cannot figure out why.  I have eczema, which they said may have somehow contributed but I have no other medication or food allergies.",1
"This pill is NOT working for me and if you change from one anti-depressant to another, be careful!",1
could this drug cause blisters. My 81 yr old father was on this drug for a short period until blisters started to appear on the stump of his amputated leg. He has been off of it for 5 days and blisters keep appearing,1
it is okey for a while,1
,1
I took one 10 mg pill at bedtime and could not sleep all night. in the morning I was sleepy and went back to bed after breakfast. When I got up I was dizze and felt like I was sleepwalking. Checked with the NP at our grocery store and she advised I call my doctor regarding these events before taking another dose.,1
"first week, i tried to hurt myself",1
,1
"painfull and heavy periods, forgetfullness, confusion, tender breasts, migraines, severe tiredness all the time, depression increasing so don't think they're working.",1
AFFECTED MY SEXUAL DRIVE IN THE WORST WAY,1
"I have been on Citalopram for about 2 months.  I started having several problems and looking at the info online for it.  Severe problems with sex drive, sexual satisfaction, muscle and joint pain, increased insomnia, and a return of headaches.  It has worked well on my depression, but I would rather be overwise depressed than in pain.",1
i makes me feel worst,1
I EXPERENCE BAD CONSTAPATION AND HAVE INJURED MY BOWELS TRYING TO HAVE A  BOWEL MOVEMENT. ALSO SO MUCH PRUSSURE ON MY URINARY TRACK CAUSING BAD SWELLING OF THE TESTECILS AND PAIN IN THE STOMACH.AND MY BODY IS BADLY RETANNING WATER.UP ON A VISIT HE DOSEN'T LISTEN TO WHAT I'M SAYING.GIVES ME A PRESCITION FOR 7 25MG. WATER PILLS.I'VE BEEN SUFFERING FOR MORE THAN A MONTH NOW WITH BAD PAIN AND RETAINNING WATER.,1
there was no change in my condition.,1
"Only took this drug for a week so really didn't expect to see any improvement.  The only side effect I had was significant and resulted in my discontinueing the drug.  I'm embarassed to say that sexually, it prevented me from ""completing the transaction"" - if you get my drift!  Real deal breaker in my book!",1
"my DR., gave me this drug and he should not have given it to me cause i have liver-disease and siezure-disorder. and as a resolte i ended up in the hospital with a high dilantin-level, low blood-pressure,and low-heart rate. i almost died which i plan on sueing him.",1
"this medicine made me hullucinate, have chest pain, be nausieated, all kinds of things. ",1
"ended me up in the hospital, cause it affected my siezures, heart-rate, and liver",1
"I was orignally on the lowest dose, now on 40mg, using it since Jan. 08. I am very jittery, sleepy during the day, wide awake at night, fuzzy mind, NO, NO sex drive.....a complete 360 on that! ",1
"I found that my whole life experience worstened and I encountered severe suicidal thoughts. T rying to commet suicide twice! My female partner was a huge cause of going on Citalopram in the first place. I was trying to stabelize my family. It's her way or the highway. Also, I thought it would help me with the mind games she always played! She always has to have her way.",1
this medication was very disatissfying for me it totally took away the little sex drive i had and did not help at all with my depression i wouldnt recommend this for anyone also kills your appetite guess its good if you are over weight.,1
no help ,1
it accually made me worse.,1
cant stay awake,2
for some reason this medacation makes me have a iner outer body feeling like i have been on a hard hung over drunk.,2
"Still experiencing depression,both situational and chemical insufficiency",2
 ",2
"Have been taking the drug for over 5 years. Did well up until recently.  All of a sudden it stopped working, completely.  Don't know why. ",2
Not very effective & causes orgasm problems.,2
I shake all the time as if I have parkinsons disease,2
Side effects unacceptable,2
"helps with depression, then it no longer works.  experience stiffening of legs and 1 leg jumps",2
"I currently take 60 mg of this medication. It has not helped at all. repeated anxiety attacks, insomnia and social anxiety has steadily increased. however, trying to get my Dr to change my medication is impossible. Changing dr's and treatments.",2
very active sexual drive.",2
,2
,2
Felt better when I first started taking but 6 months later it's worse than before. I feel very angry about people that I don't even know. Just feel like I'm really in the dumps. Scares me about the way I feel about people.Never felt this before in my life. Always liked everyone.,2
Doesn't do much for me at all.  Doctor has now supplemented it with Wellbutrin.,2
I HAVE SEVERE STOMACH CRAMPS AND FEEL LIKE I AM GOING TO THROW UP ALL OF THE TIME...I CANNOT GET OVER THESE FEELINGS- I HAVE ONLY BEEN TAKING THE MEDICINE ABOUT TWO WEEKS BUT I DO NOT KNOW IF THESE SIDE EFFECTS WILL GO AWAY...I DONT KNOW HOW MUCH LONGER I CAN HOLD OUT WAITING :(,2
"I have recently been taken off cymbalta 60mg.I have been on citalapram for 2 months or so.I feel good,but not as good as I felt on cymbalta.I had to change because of the huge cost spread.$174 as aposed to only$4 per month.",2
second day of use had servere stomach pain stoped taking it. ,2
,2
i feel more depresed now than before,2
"I was put on 10 mg of this drug, meaning to increase to 20 after a week (it was to be taken right before bedtime because of drowsiness).  I stopped taking it after 5 days.  I was prescribed this medication in order to combat grief symptoms and anxiety after the death of both of my parents.  I had high hopes, as I had never been on an anti-depressant and was hoping this might make me feel like ""me"" again so that I could do everyday activities without getting stressed and exhausted.  It did improve my quality of sleep and I woke up refreshed and energized, but I would ""crash"" later in the day, a few hours before I was to take my next dose.  It was how I imagine a drug user's ""highs"" and ""lows"" to be, on a milder level.  I had compulsive suicidal thoughts on this medication, and because of this I probably should have told someone I was taking it (I meant for my use of this drug to be private).  Nothing I would act on, but the compulsive thoughts were there.  After having one, I remember thinking to myself, ""woah, I can't believe I just thought that.""  I was almost more anxious on this med and the boomerang effect on my mood was just too much.  May work for some, but not for my particular case.",2
"My OBGYN put me on this medication after my 2nd child, for pp depression.  Almost immediatly I noticed bad side effect's.  No sex drive (not able to reach the big ""O""), tired all the time, no ambition to clean the house.  I finally hit rock bottom and stayed in bed for days, not taking any medication at all, until my husband had me commited.  The doctor in the psych ward perscibed wellbutrin (bupropian) and I have so much energy and want to do things and the big ""o"" is back (multiple times!)",2
celexa did work for anxiety for me. I even started having panic attacks while taking it.,2
Had a headache daily when using.,2
Tough.,2
,2
"Seemed to work at first, but effectiveness wore off, even though I was taking a large dose",2
,2
felt more depressed and anxious,2
Side of affects keep me from taking as much as I should ,2
"Alot of headaches, sweating. Been on it now for over 2 months and am thinking about going back to something else. Didn't really help with anxiety, or my depression. It is cheaper than Lexapro but not as effective for me.",2
I have had severe constant headaches with this drug.  It is not doing very well for me.,2
"Tiredness,lack of motavation,forgetfulness, just can,t be bothered, nightmares confusion a mix up with monthley cycle, late or not at all, does it haelp or work I do not know/ for me the change is very little,40mg three months now.",2
,2
"When Medco decided they wouldn't pay for my lexapro any longer, they switched me to citalopram and I'm, again, crying all the time. I NEVER cried on Lexapro.",2
mild headaches,2
,2
,2
,2
"Just started today, i hope this one works",2
I have not been on this medication very long.,2
doesn't seem to work after taking it for a while,2
"Works for Social Anxiety, but does not help with Depression, has significant sexual side-effects.",2
It helped in the beginning. I felt a lot better. then it feels like it quit working.,2
,2
"On it for 2 months @ 20 mg.  Yawn constantly, no difference in mood, bad nightmares (screaming in sleep)and achy pain in shoulders & upperarms with numbness in hands/fingers.  Aso harder to get going in a.m., wake up with slight headache & slight dizziness.  Trying to give it enough time but calling M.D. about it now.",2
,2
I have completely lost my sex drive and am always tired! Have come to the conclusion that I need to get OFF of this med a.s.a.p.!,2
At first this med made my orgasms more intense. Now it's back to normal.  My penis size has increased. I don't know why this happens but I heard it is common. Overall a good experience.,2
",2
"THis is day 4 for me taking this pill. Im trying to think positive but I dont like the way it makes me feel. Im sleepy even after 8 hours of sleep. No enegry, been in bed 2 of the 4 days I been on it cuz I just dont feel like doing anything. I feel sick to my stomach, not hungry, & I just feel ickey. Im gonna try staying on it for 30 days, if there is no change then I will talk to my Dr about switching. UGH!",2
"I have been on this for a year and a half now along with one other med, (which the doc has changed many times). I have had no side effects with this drug. Regaurdless of the other pill. I still have depresstion but not as bad as i did before getting onto ANY meds. My panic attacks are uneffected by this med. My aniety is maybe 20-30% better, regardless of what the other pill is at time in compare to before i took any meds. My father was Bipolar and my doc knowing that says I'm depressed with anxiety. I know we all differ do to bio, so in all i would recomend giving this pill a try. I have had better results with it then many others I was on before it. And so far I'm still on it todate.",2
"This med seemed to work OK for the first few months. But then again, this was the first anti-depressant I've ever taken. Over the course of a little over a year, I gained nearly 40 lbs and completely lost interest in sex and tend to have episodes of insomnia. I honestly wouldn't bother with it.",2
",2
Started taking for several months. Worked alright at first. Stopped taking after my sex drive went MIA.,2
"I was on this medication for 8 weeks. During that time, I was extremely drowsy, all the time, no matter what time of day I took the medication. I am a competitive runner and the meds just ""took the wind out of my sails"". I had no energy or stamina to run. It had minimal impact on my depression but did help with irritability/anger/mood swings. I am going to go back to Prozac, most likely as the side effects for me were minimal.",2
"Does this pill make anyone else feel nausea/vomiting issues? I tried to take it twice for my depression but I cannot for the life of me, keep these meds down. ",2
dont know too soon to tell,2
"Today is my second day taking this.I am very much into holistic health and not pills so I am very concerned about the issue when you all say you cannot come off them.  I am usually a very optimistic, VERY energetic person with a sunny disposition but I am losing my company and having to do bkrpt and very, very depressed about the whole deal, so depressed I cannot even make myself go the attorney to file.  So I asked for a ""helper"" from my doctor.  Today I am so lethargic I cannot stay up for more than an hour, dry mouth, bowel problems, dizzy, unenthused about accomplishing anything but when I try to sleep I feel like all my muscles are tense, have a headache in the back of my mind and generally feel very YUCCKY.  I am hoping that all you people out there saying ""stick with it"" are right, but still I think I will try 1/2, or 10mg tonight and quit taking them in the a.m.  I'm hoping I will be one of you chipper ""these are great"" people.  I had expected something a little less powerful I guess, like after drinking a couple of beers, that smoothness, not all this static. ",2
"I have only been taking this for a few days and I feel a little off, I have no appetite and my mouth feels totally off, all foods and drinks taste bad and even my tongue feels like it's hard to move sometimes even when I'm just talking. I'm trying to stick it out because I've heard good things and hopefully it can help me from going off the deep end. ",2
"Took it for four days. On the second day, I started to become restless. On the third day, I woke up with a racing heart beat and felt like a nervous wreck. I started to fidget and move uncontrollably. Anxiety continued at an unbearable level. I was really hoping this med would work, but I had a bad reaction to it.",2
weight gain,2
,2
"Terrible side effects: insomnia, severe restlessness, pounding heart, foggy brain, extreme fatigue, no motivation and zombie feeling after only a week. Have used lexapro in the past with no side effects..",2
just started meds,2
"I just started this medication on July/17/2009. So, I'm not exactly sure if it is working for me just yet / helping me with my ""Manic Depression"" that I have been diagnosed with, is helping / working for me just yet. My doctor said, and so did the pharmacist, that it may take,  ""UP TO""  one month for the medication to start working properly before I will see any difference with my ""Manic Depression"".",2
,2
"I have been taking this for two years...At first it appeared to be working...After a period of time I felt depressed and have severe loss of sex drive.After reveiwing the side affects I have identified at least eight ""severe"". Will be contacting Dr. to get off of this med...I take no other meds.",2
"Been taking this medicne after a heart attack last June. I'm very tired, low energy, and have had some weight gain, not due to my eating habits. It may have helped with anxiety in the beginning,but now I'm going to taper off. It sounds like its pretty additive, and I don't need anymore negatives in my life.",2
"Dizziness was my biggest side effect when I began taking this but over time that went away.  I have noticed that I am also constantly tired and have gained 15 lbs.(my eating is at least the same if not improved because of fear of gaining more weight).  I don't really feel like this is helping my depression but I do think it is helping my OCD.  My husband is the one that noticed that.  I have a doctors appt in 2 weeks and I am telling her that I am ready to be done with this med, hopefully it won't be too hard to come off of it.",2
"Zapped my energy level to zero. However, has not helped with my insomnia. Did help some in the beginning with my emotional outbursts but after 2months quit working.My mind was always racing. Would still have highs and lows. During that time I also gained 10 pounds due to the medication (my eating habits have not changed). I have already put a call in to get a med change.",2
I use to take effexor xr and had to switch due to many years of medicine and this doesnt seem to do the job that effexor xr did.  Looking for a balance to medicine.,2
"I've only been on this for just over a week.  Feel kind of jittery a lot of the time, but extremely tired and have these terrible headaches.  Also, just don't feel...right.  Like something is just off, and i would like to just lie down on the couch. I haven't seen some of these listed as symptoms.  Is anyone else having anything like this? ",2
,2
"I've been on this medication for about a year, and it's ruined my life. I'm a full time worker and student, and this makes me so tired, and i can never sleep. I also am never in the mode for sex, and has starting the grinding in my teeth. It causing more problems then when i started.",2
I have insomnia. My scalp is severely itching until I want to dig it. I have a tingling in my neck. My mind does not shut down. I feel that my doctor did not advice me concerning this drug. I have never been depressed until the death of my husband. I only needed a short boost. This drug should not have been given to me because it takes too long to feel any effects to help one.,2
"I have beenhaving excessive sweating and urination from taking this medication, As soon as I saw the side effects I told my Doctor to take me off it.  Also muscle and joint pain is something I don'y need with Fibromyalgia.",2
My son was taking Effexor XR 150mg but got into the donut hole for my coverage and cannot afford to pay $135.00 a month so my dr. switched me to Citalopram 10 mg- was not working-is that the correct amount that I should be taking?,2
3 weeks and still feel foggy.does it take longer to work?,2
I have been on this medication for nearly a month and I feel no different then I did..I am now taking 20 mg at bed time...And all the symptoms I had originally are still there...I'm moddy ...filled wit rage or sad/depressed/over whelmed all the time...The only thing I am geting from this is Tired all the time...So far I wouldn't recommend it.,2
I found my issue becoming worse so I stop taking it and still looking for the drug to help with depression. Everyday life is very hard for me and I hope I can find that right one.,2
"I've been on this drug(20mg) for 6months + and I don't like it. It has made all my symptoms worse. I either can't sleep or sleep too much, my weight is like a yo-yo, my moods are all over the placer and so is my mind; my thoughts are incredibly scattered and disorganised, and my paranoia has not shifted. Unfortunetely I was allergic to Fluxotine.",2
"I find myself clenching my jaw, especially while sleeping, when I can sleep.  I have a hard time sleeping",2
"I have been on Citalopram 20mg in the morning for 11days. I have notice that I've not been anger as much. but Im starting to get a list of more anxity attacts with increaced heart rate, which I have never had before. lost of intrest of eating at all. I started to have dreams and night sweats. I have never had dreams before so it is making me confused. lost of lebito, which is not good for my marriage at all. I plan on give it another week then try to get something else a try. ",2
"Of course, taking any new med, it takes time to get used to it; however, I've waited a long time to ""get used"" to it. It makes me dizzy, always sleepy and extremely irritable. I don't feel like myself. It's an off and on feeling. So after 3 months of this drug, I'm going to seek something new.",2
"i got on this med because my fluoxetine stoppped working. after 2 weeks of taking this i had a slump, i didn't geet out of bed for 2 days. even now after 4 weeks i still get naseous after i take it,with previous meds the nasea subsided after a week or so. also 2 weeks into taking it i was unable to have an orgasm. my insomnia is worse now then when i was off meds.i am groggy and in a daze most of the time. i can't get my work done at my job.so bacically i can't eat, i can't sleep, sex is useless, i am more frustrated and depressed then when my last meds stopped working. i'm misserable. i told my dr how the meds were(not) working and was told give it 2 more weeks now after that 2 weeks i have to wait a week to get in to see her. blah ",2
"Anti depressants work for some not others. It seems I react to anti depressants no matter which ones. Suicidal, aggressive behaviour etc, check out this link http://en.wikipedia.org/wiki/Akathisia .",2
,2
seems that the deppression does mot go away,2
"Other than the fact that this makes me very very sleepy, its great.",5
"Ive been taking this medication for a year now and it has helped me in so many ways. I take the 20mg. it took probably about two weeks before i noticed anything different. My family noticed an improvement in my mood the first week. I can wake up in the moring and not feel dread and i can control all my emotions so much better. I dont cry on a drop of a dime anymore. I actually laugh and it feels amazing. This medicine has changed my life. The only thing i get as a sideeffect is the constant yawning, but ive grown accustomed to it. Thank you citalopram.",5
I had taken Citalopram years ago and thought it was replaced as most meds are but I have been on it for a little while(2 weeks) and I already feel better which is great because the medicine I was on made my depression worse.My depression went from a 9 to a 5 on citalopram and I never thought I would get down to a 5 again.,5
"Never really thought it was depression, but maybe it was. Life was just too hard. This medication works very well, and I can usually tell if I miss a dose. Before I took this I wanted to have more intimate and sexual relations with husband. Downside is not caring if I have sex or not.",5
At first I was reluctant to take Citalopram, but I know I needed that extra bit of help. It's not a magic wand, or a wonder drug, but it has helped me to help myself.",5
"Have found that I need to carefully balance the use of this medication with my need for it.  If I take too large of a dose I end of tired and unfocused.  I end up cutting the pills to a 1mg dose and at that level I can tolerate the side effects and still benefit from the drug.  Unfortunately, even at this trivial dose I have a significant sexual side effect.  At times I've stopped the drug for months and the side effect still remains, I fear it may have become permanent.  Now I need to go back on the med, but I'm hesitant because I'm so worried about this side effect.",5
Started taking 20 mg in 1996. Up to 40 mg for 8 years. Had some really bad things happen in my life.  Went into a deep depression. Didn't seem like it was working anymore. Went to a psychiatrist who had me try over 12 different anti-depressants over 8 months. None of them worked for me. I ended up back on citalopram 60 mg which is working exceptionally well for me. It also helped me with all my anxiety. Can't say enough good things about this med. ,5
"taken along with abilify and lamectal, it has worked well",5
"This medication has changed my life. It has worked wonders for me. With any medication there are side effects. I am so anti medication and tried herbal or alternative medication. However with severe anxiety and depression this medication has helped me get back on track in life. I was very anxious about taking the medication but now I am taking it I wish I'd done it sooner. You do need to be patient to see results and also tolerate the side effects because in the long run the benefit of this medicine outweighs the minor side effects. It works for me but maybe not for everyone, however it's worth a try as doctors wouldn't prescribe something without benefiting you and making you better.",5
taking in conjunction with abilify and and lamectal I have never felt better.  I rate this medication an A.  Hope others have the same luch,5
"I've had a chemical imbalance my entire life and mental illness runs on both sides of my family. This is the only medication that has ever helped take the edge off of the emotional roller coaster called ""life"". I've tried other things and this has helped me relax and look at the big picture. Thank God for this medicine and the doctors who created it to help people like me. I feel normal and happy and worry less. ",5
This drug gave me a new life- the one i had always felt just out of reach. And it saved my marriage.,5
"I have been on this medication for five years now for the treatment of depression and anxiety. I absolutely love it, as it allows me to be fully myself. I would highly recommend this to anyone suffering from depression or anxiety.",5
I am more tolerant of others and they are of me as well as long as I am on this medication.  I have gained ALOT of weight since starting this but I am still happier.  Started with 20mg but 40mg is what i have been on for years now and I definitely have a better outlook on life.,5
This medication has helped me resolve my depression and some anxiety issues,5
"Starting taking this drug after heart bypass surgery in 2012. I was diagnosed with depression after the surgery, apparently it is rather common especially in men after a major event such as surgery. It took a while, but is has been helping. Hopefully I wont have to continue taking it for the rest of my life",5
"When I first started taking citalopram, I had dry mouth and night sweats, but those side effects weren't too bad. Within about 2weeks I noticed that I was smiling more-even when I wasn't necessarily happy. Citalopram has most definitely increased my quality of life. I may not always be happy, but I enjoy life more. I get out more and actually participate in life. I was on 40mg for a few years and have now been on 20mg for ~a month bc I'm trying to titrate down as I may be trying to conceive in a few months. I have had some withdrawal symptoms such as ""brain zaps"" which sounds scarier than they really are. I notice my sadness and irritability more, but I'm pretty laser-focused on trying to get pregnant soon. So I'm toughing it out. I am a bit frightened to not take it at all, but I'll be sure to talk about this with my M.D.",5
,5
Maybe I should stick with this sleeping problem than risk all of those seemingly commonly experienced side effects.",5
